date,close,volume,future_return,label,ticker,executive,company
2024-01-02,364.5894775390625,25258600,0.013266154777971934,1,MSFT,Satya Nadella,Microsoft
2024-01-03,364.32403564453125,23083500,0.032838533879145634,1,MSFT,Satya Nadella,Microsoft
2024-01-04,361.70904541015625,20901500,0.04536079447325885,1,MSFT,Satya Nadella,Microsoft
2024-01-05,361.52227783203125,21004600,0.056342698289989786,1,MSFT,Satya Nadella,Microsoft
2024-01-08,368.34478759765625,23134000,0.041580881798573346,1,MSFT,Satya Nadella,Microsoft
2024-01-09,369.4261779785156,20830000,0.036403304751772295,1,MSFT,Satya Nadella,Microsoft
2024-01-10,376.28790283203125,25514200,0.028999200499716063,1,MSFT,Satya Nadella,Microsoft
2024-01-11,378.116455078125,27850800,0.03650255203339435,1,MSFT,Satya Nadella,Microsoft
2024-01-12,381.89141845703125,21661200,0.020696641105056826,1,MSFT,Satya Nadella,Microsoft
2024-01-16,383.660888671875,27202300,0.02211290348239711,1,MSFT,Satya Nadella,Microsoft
2024-01-17,382.87451171875,22234100,0.03360975007875,1,MSFT,Satya Nadella,Microsoft
2024-01-18,387.199951171875,23392100,0.027928001205570593,1,MSFT,Satya Nadella,Microsoft
2024-01-19,391.9186706542969,29331100,0.013193960532738802,1,MSFT,Satya Nadella,Microsoft
2024-01-22,389.7952880859375,27016900,0.03331552989271274,1,MSFT,Satya Nadella,Microsoft
2024-01-23,392.1447448730469,20525900,0.02429174183969726,1,MSFT,Satya Nadella,Microsoft
2024-01-24,395.7428283691406,24867000,-0.012370889797659585,0,MSFT,Satya Nadella,Microsoft
2024-01-25,398.013671875,21021200,-0.0026920486497892366,0,MSFT,Satya Nadella,Microsoft
2024-01-26,397.0896301269531,17803300,0.01804757254416038,1,MSFT,Satya Nadella,Microsoft
2024-01-29,402.7815246582031,24510200,-0.009933593946816817,0,MSFT,Satya Nadella,Microsoft
2024-01-30,401.6706237792969,33477600,-0.007586949738347902,0,MSFT,Satya Nadella,Microsoft
2024-01-31,390.8471374511719,47871100,0.04142573922220325,1,MSFT,Satya Nadella,Microsoft
2024-02-01,396.94219970703125,30657700,0.025582989838857564,1,MSFT,Satya Nadella,Microsoft
2024-02-02,404.2561340332031,28256700,0.022688578596952516,1,MSFT,Satya Nadella,Microsoft
2024-02-05,398.78045654296875,25352300,0.023690392721093776,1,MSFT,Satya Nadella,Microsoft
2024-02-06,398.6231689453125,18382600,0.0020469934200392525,1,MSFT,Satya Nadella,Microsoft
