date,close,volume,future_return,label,ticker,executive,company
2024-01-02,248.4199981689453,104654200,-0.05418239897870164,0,TSLA,Elon Musk,Tesla
2024-01-03,238.4499969482422,121082600,-0.01891379561566895,0,TSLA,Elon Musk,Tesla
2024-01-04,237.92999267578125,102629300,-0.04501320466004574,0,TSLA,Elon Musk,Tesla
2024-01-05,237.49000549316406,92488900,-0.07831911100802517,0,TSLA,Elon Musk,Tesla
2024-01-08,240.4499969482422,85166600,-0.08542313806123328,0,TSLA,Elon Musk,Tesla
2024-01-09,234.9600067138672,96705700,-0.08260981914997455,0,TSLA,Elon Musk,Tesla
2024-01-10,233.94000244140625,91628500,-0.09429767174649407,0,TSLA,Elon Musk,Tesla
2024-01-11,227.22000122070312,105873600,-0.06614734045660861,0,TSLA,Elon Musk,Tesla
2024-01-12,218.88999938964844,123043800,-0.046096196107750516,0,TSLA,Elon Musk,Tesla
2024-01-16,219.91000366210938,115355000,-0.04897459912287117,0,TSLA,Elon Musk,Tesla
2024-01-17,215.5500030517578,103164400,-0.03581536122200565,0,TSLA,Elon Musk,Tesla
2024-01-18,211.8800048828125,108595400,-0.13804983635042728,0,TSLA,Elon Musk,Tesla
2024-01-19,212.19000244140625,102260300,-0.1363872100873258,0,TSLA,Elon Musk,Tesla
2024-01-22,208.8000030517578,117952500,-0.08558433963023891,0,TSLA,Elon Musk,Tesla
2024-01-23,209.13999938964844,106605900,-0.08391509564394914,0,TSLA,Elon Musk,Tesla
2024-01-24,207.8300018310547,123369900,-0.09883081539699393,0,TSLA,Elon Musk,Tesla
2024-01-25,182.6300048828125,198076800,0.034112662547080584,1,TSLA,Elon Musk,Tesla
2024-01-26,183.25,107343200,0.025429760775494543,1,TSLA,Elon Musk,Tesla
2024-01-29,190.92999267578125,125013100,-0.05169431464834216,0,TSLA,Elon Musk,Tesla
2024-01-30,191.58999633789062,109982300,-0.03387436900895999,0,TSLA,Elon Musk,Tesla
2024-01-31,187.2899932861328,103221400,0.001548446555170802,1,TSLA,Elon Musk,Tesla
2024-02-01,188.86000061035156,91843300,0.0037064330508310935,1,TSLA,Elon Musk,Tesla
2024-02-02,187.91000366210938,110612700,0.030120821413461937,1,TSLA,Elon Musk,Tesla
2024-02-05,181.05999755859375,134294400,0.03904787042720902,1,TSLA,Elon Musk,Tesla
2024-02-06,185.10000610351562,122676000,-0.005834693654470792,0,TSLA,Elon Musk,Tesla
