Price,Close,High,Low,Open,Volume,future_return,label,ticker,executive,company
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,
Date,,,,,,,,,,
2018-01-02,4.928264617919922,4.93197318893543,4.808364843062646,4.8400081722055255,355616000,0.11331869743752492,1,NVDA,Jensen Huang,Nvidia
2018-01-03,5.252614498138428,5.283022431580959,5.037041544979342,5.04569409396009,914704000,0.05276041617966488,1,NVDA,Jensen Huang,Nvidia
2018-01-04,5.280302047729492,5.390560971608226,5.258052503900598,5.3339483167702495,583268000,0.049112953010024926,1,NVDA,Jensen Huang,Nvidia
2018-01-05,5.32504940032959,5.362378902130493,5.2182514813558765,5.295136099778255,580124000,0.035190255813374566,1,NVDA,Jensen Huang,Nvidia
2018-01-08,5.488212585449219,5.562377429227488,5.403664210874558,5.448657939230332,881216000,-0.008513489937457513,0,NVDA,Jensen Huang,Nvidia
2018-01-09,5.486729145050049,5.5332058306834355,5.405147628453449,5.4936511845474225,497000000,0.012526045050169448,1,NVDA,Jensen Huang,Nvidia
2018-01-10,5.529744625091553,5.533205644723922,5.339882235713851,5.394269754440875,582664000,0.0033976863275505175,1,NVDA,Jensen Huang,Nvidia
2018-01-11,5.539633274078369,5.593773709416241,5.518124971293101,5.562376981636238,406032000,0.02690994316912666,1,NVDA,Jensen Huang,Nvidia
2018-01-12,5.512439250946045,5.562129871196444,5.47189581277833,5.527766757558744,359916000,0.04803128743645453,1,NVDA,Jensen Huang,Nvidia
2018-01-16,5.441488742828369,5.624429112773191,5.356940833635393,5.538892408082142,702348000,0.08541199507975593,1,NVDA,Jensen Huang,Nvidia
2018-01-17,5.555456161499023,5.565344588663192,5.3621327187295424,5.456074898668032,538408000,0.049305291144620775,1,NVDA,Jensen Huang,Nvidia
2018-01-18,5.548532962799072,5.602920479670502,5.505022666384803,5.536171842013377,408632000,0.05306564036783061,1,NVDA,Jensen Huang,Nvidia
2018-01-19,5.688704490661621,5.7129316262650836,5.611820350109823,5.638766790715722,609380000,0.05745100744521536,1,NVDA,Jensen Huang,Nvidia
2018-01-22,5.7772088050842285,5.778939315000226,5.63901462125564,5.696616081971822,550944000,0.05631386091665473,1,NVDA,Jensen Huang,Nvidia
2018-01-23,5.906257152557373,5.929000865815322,5.812067417139859,5.830608395474973,475228000,0.015947352881836806,1,NVDA,Jensen Huang,Nvidia
