date,close,volume,future_return,label,ticker,executive,company
2024-01-02,137.03738403320312,23711200,0.02012007283917103,1,GOOGL,Sundar Pichai,Alphabet
2024-01-03,137.78121948242188,24212100,0.024186705324581406,1,GOOGL,Sundar Pichai,Alphabet
2024-01-04,135.27197265625,27137700,0.0417187054436772,1,GOOGL,Sundar Pichai,Alphabet
2024-01-05,134.6173858642578,22513900,0.05098361705612548,1,GOOGL,Sundar Pichai,Alphabet
2024-01-08,137.70187377929688,21404000,0.02628952742721701,1,GOOGL,Sundar Pichai,Alphabet
2024-01-09,139.79458618164062,24759600,0.0036894299213519766,1,GOOGL,Sundar Pichai,Alphabet
2024-01-10,141.1136932373047,21320200,0.008434123300029293,1,GOOGL,Sundar Pichai,Alphabet
2024-01-11,140.91534423828125,24008700,0.030264445327074264,1,GOOGL,Sundar Pichai,Alphabet
2024-01-12,141.4806671142578,18785500,0.02341395568651986,1,GOOGL,Sundar Pichai,Alphabet
2024-01-16,141.32199096679688,22670500,0.03193201059246499,1,GOOGL,Sundar Pichai,Alphabet
2024-01-17,140.3103485107422,20968600,0.0511062132403678,1,GOOGL,Sundar Pichai,Alphabet
2024-01-18,142.30386352539062,25746400,0.058474960288551626,1,GOOGL,Sundar Pichai,Alphabet
2024-01-19,145.18006896972656,34271900,0.03969133075643009,1,GOOGL,Sundar Pichai,Alphabet
2024-01-22,144.7932891845703,32200400,0.05151028440518473,1,GOOGL,Sundar Pichai,Alphabet
2024-01-23,145.83468627929688,21636100,0.0300597797188405,1,GOOGL,Sundar Pichai,Alphabet
2024-01-24,147.4810791015625,25233500,-0.05783460868341658,0,GOOGL,Sundar Pichai,Alphabet
2024-01-25,150.6250762939453,29149100,-0.07052064228199444,0,GOOGL,Sundar Pichai,Alphabet
2024-01-26,150.9424591064453,26115500,-0.06445879137681185,0,GOOGL,Sundar Pichai,Alphabet
2024-01-29,152.2516326904297,27784300,-0.06403481351855084,0,GOOGL,Sundar Pichai,Alphabet
2024-01-30,150.21844482421875,36331800,-0.04859388528831101,0,GOOGL,Sundar Pichai,Alphabet
2024-01-31,138.95156860351562,71910000,0.03882925393654744,1,GOOGL,Sundar Pichai,Alphabet
2024-02-01,140.00289916992188,40466500,0.033649510693464904,1,GOOGL,Sundar Pichai,Alphabet
2024-02-02,141.212890625,62499600,0.04649529397933638,1,GOOGL,Sundar Pichai,Alphabet
2024-02-05,142.50222778320312,38505400,0.026795513793408436,1,GOOGL,Sundar Pichai,Alphabet
2024-02-06,142.9187469482422,29128200,0.007217346657807979,1,GOOGL,Sundar Pichai,Alphabet
2024-02-07,144.34695434570312,25208900,0.002748437037852955,1,GOOGL,Sundar Pichai,Alphabet
2024-02-08,144.71392822265625,22563800,-0.021519886393591207,0,GOOGL,Sundar Pichai,Alphabet
2024-02-09,147.77862548828125,26829500,-0.056912776902410166,0,GOOGL,Sundar Pichai,Alphabet
2024-02-12,146.32064819335938,21564100,-0.04344866710396099,0,GOOGL,Sundar Pichai,Alphabet
2024-02-13,143.9502410888672,27837700,-0.017844750269850624,0,GOOGL,Sundar Pichai,Alphabet
2024-02-14,144.74368286132812,22704200,-0.012676363984439257,0,GOOGL,Sundar Pichai,Alphabet
2024-02-15,141.59970092773438,37590700,0.00833491560988194,1,GOOGL,Sundar Pichai,Alphabet
2024-02-16,139.36813354492188,31468900,-0.020993515174142153,0,GOOGL,Sundar Pichai,Alphabet
2024-02-20,139.9632110595703,25144700,-0.015873093744443387,0,GOOGL,Sundar Pichai,Alphabet
2024-02-21,141.38148498535156,23223300,-0.04328289538795047,0,GOOGL,Sundar Pichai,Alphabet
2024-02-22,142.9088592529297,27191900,-0.03907278439621276,0,GOOGL,Sundar Pichai,Alphabet
2024-02-23,142.77992248535156,19493800,-0.047374301675977656,0,GOOGL,Sundar Pichai,Alphabet
2024-02-26,136.4423065185547,53641800,-0.030675418141794072,0,GOOGL,Sundar Pichai,Alphabet
2024-02-27,137.74156188964844,33099200,-0.0447148126554567,0,GOOGL,Sundar Pichai,Alphabet
2024-02-28,135.2620849609375,37328600,-0.036515955262633036,0,GOOGL,Sundar Pichai,Alphabet
2024-02-29,137.32501220703125,42133000,-0.029466988572548605,0,GOOGL,Sundar Pichai,Alphabet
2024-03-01,136.0158233642578,31151100,-0.01261485811033132,0,GOOGL,Sundar Pichai,Alphabet
2024-03-04,132.2568817138672,55999400,0.03239621361746931,1,GOOGL,Sundar Pichai,Alphabet
2024-03-05,131.5824737548828,40194800,0.04394362819536495,1,GOOGL,Sundar Pichai,Alphabet
2024-03-06,130.32286071777344,35318600,0.0638511040894226,1,GOOGL,Sundar Pichai,Alphabet
2024-03-07,133.27845764160156,37738200,0.06489056031246991,1,GOOGL,Sundar Pichai,Alphabet
2024-03-08,134.3000030517578,39370400,0.04261144568217749,1,GOOGL,Sundar Pichai,Alphabet
2024-03-11,136.54150390625,32437800,0.07270977642443596,1,GOOGL,Sundar Pichai,Alphabet
