Price,Close,High,Low,Open,Volume,future_return,label,ticker,executive,company
Ticker,ADBE,ADBE,ADBE,ADBE,ADBE,,,,,
Date,,,,,,,,,,
2018-01-02,177.6999969482422,177.8000030517578,175.25999450683594,175.85000610351562,2432800,0.05064715900147925,1,ADBE,Shantanu Narayen,Adobe
2018-01-03,181.0399932861328,181.88999938964844,177.6999969482422,178.0,2561200,0.033528543688272974,1,ADBE,Shantanu Narayen,Adobe
2018-01-04,183.22000122070312,184.05999755859375,181.63999938964844,181.92999267578125,2211400,0.031110123950802107,1,ADBE,Shantanu Narayen,Adobe
2018-01-05,185.33999633789062,185.89999389648438,183.5399932861328,185.0,2376500,0.05239023905107356,1,ADBE,Shantanu Narayen,Adobe
2018-01-08,185.0399932861328,185.60000610351562,183.8300018310547,184.9499969482422,2088000,0.04009951198096181,1,ADBE,Shantanu Narayen,Adobe
2018-01-09,186.6999969482422,186.97000122070312,183.92999267578125,185.57000732421875,1804300,0.052437111435175356,1,ADBE,Shantanu Narayen,Adobe
2018-01-10,187.11000061035156,187.27000427246094,185.07000732421875,185.2100067138672,1664300,0.048581028850617915,1,ADBE,Shantanu Narayen,Adobe
2018-01-11,188.9199981689453,188.94000244140625,186.19000244140625,187.2899932861328,1600100,0.036046991449278865,1,ADBE,Shantanu Narayen,Adobe
2018-01-12,195.0500030517578,195.5,188.99000549316406,189.08999633789062,4246000,0.014303989964011788,1,ADBE,Shantanu Narayen,Adobe
2018-01-16,192.4600067138672,198.2100067138672,191.7100067138672,195.9199981689453,4595600,0.03964454618027237,1,ADBE,Shantanu Narayen,Adobe
2018-01-17,196.49000549316406,197.1199951171875,192.77000427246094,194.02000427246094,2969500,0.006565185251509862,1,ADBE,Shantanu Narayen,Adobe
2018-01-18,196.1999969482422,196.58999633789062,194.05999755859375,196.2100067138672,2539400,0.0066768480069820235,1,ADBE,Shantanu Narayen,Adobe
2018-01-19,195.72999572753906,196.6300048828125,194.64999389648438,196.24000549316406,2343000,0.028457607141484518,1,ADBE,Shantanu Narayen,Adobe
2018-01-22,197.83999633789062,198.0,194.4199981689453,195.6999969482422,1701300,0.0019712868826703683,1,ADBE,Shantanu Narayen,Adobe
2018-01-23,200.08999633789062,204.4499969482422,199.44000244140625,202.2899932861328,3981000,-0.015942838221753547,0,ADBE,Shantanu Narayen,Adobe
2018-01-24,197.77999877929688,202.3000030517578,196.52000427246094,201.82000732421875,3250500,0.010011101930223712,1,ADBE,Shantanu Narayen,Adobe
2018-01-25,197.50999450683594,199.24000549316406,196.07000732421875,198.0800018310547,2574200,0.009467927841554572,1,ADBE,Shantanu Narayen,Adobe
2018-01-26,201.3000030517578,201.5500030517578,198.25,198.5,2338100,-0.028117255719335918,0,ADBE,Shantanu Narayen,Adobe
2018-01-29,198.22999572753906,200.86000061035156,197.8699951171875,200.11000061035156,1939000,-0.04015533282873539,0,ADBE,Shantanu Narayen,Adobe
2018-01-30,196.89999389648438,197.72999572753906,194.88999938964844,197.25,3343300,-0.012341253179818596,0,ADBE,Shantanu Narayen,Adobe
2018-01-31,199.75999450683594,200.9600067138672,196.75,197.1300048828125,2747600,-0.03714456534334453,0,ADBE,Shantanu Narayen,Adobe
2018-02-01,199.3800048828125,201.75,198.0800018310547,199.1199951171875,2366100,-0.07132109977156971,0,ADBE,Shantanu Narayen,Adobe
2018-02-02,195.63999938964844,199.39999389648438,195.44000244140625,197.3300018310547,2813800,-0.0391024019645808,0,ADBE,Shantanu Narayen,Adobe
2018-02-05,190.27000427246094,198.4600067138672,188.0,194.05999755859375,3801300,0.009880641098485228,1,ADBE,Shantanu Narayen,Adobe
2018-02-06,194.47000122070312,194.82000732421875,182.10000610351562,186.58999633789062,4480000,-0.0050907877150703044,0,ADBE,Shantanu Narayen,Adobe
2018-02-07,192.33999633789062,196.24000549316406,192.02000427246094,193.8699951171875,2988000,0.024903861059179255,1,ADBE,Shantanu Narayen,Adobe
2018-02-08,185.16000366210938,192.97000122070312,185.02000427246094,192.83999633789062,3978700,0.09618706635529375,1,ADBE,Shantanu Narayen,Adobe
2018-02-09,187.99000549316406,189.7100067138672,179.33999633789062,187.3300018310547,3818800,0.07218464635835727,1,ADBE,Shantanu Narayen,Adobe
2018-02-12,192.14999389648438,192.99000549316406,188.55999755859375,189.0,2824700,0.05636222833756143,1,ADBE,Shantanu Narayen,Adobe
2018-02-13,193.47999572753906,194.30999755859375,190.38999938964844,190.85000610351562,1961300,0.0445007277262724,1,ADBE,Shantanu Narayen,Adobe
2018-02-14,197.1300048828125,197.5,191.9499969482422,192.47999572753906,2542400,0.02779889206007348,1,ADBE,Shantanu Narayen,Adobe
2018-02-15,202.97000122070312,203.27999877929688,197.1300048828125,198.97000122070312,2233300,0.033354703807187004,1,ADBE,Shantanu Narayen,Adobe
2018-02-16,201.55999755859375,203.89999389648438,200.74000549316406,202.52000427246094,2172600,0.052540169012514994,1,ADBE,Shantanu Narayen,Adobe
2018-02-20,202.97999572753906,205.1199951171875,199.17999267578125,200.4600067138672,2722700,0.028771365255711015,1,ADBE,Shantanu Narayen,Adobe
2018-02-21,202.08999633789062,206.8300018310547,202.02000427246094,204.4499969482422,2043500,0.03483600708840191,1,ADBE,Shantanu Narayen,Adobe
2018-02-22,202.61000061035156,204.22000122070312,201.67999267578125,203.07000732421875,1541500,0.01687971057027173,1,ADBE,Shantanu Narayen,Adobe
2018-02-23,209.74000549316406,209.77999877929688,203.30999755859375,204.22000122070312,2349300,0.0002383321810792039,1,ADBE,Shantanu Narayen,Adobe
2018-02-26,212.14999389648438,212.35000610351562,209.25999450683594,211.2899932861328,2418700,-0.004666463647687173,0,ADBE,Shantanu Narayen,Adobe
2018-02-27,208.82000732421875,212.75999450683594,208.25,211.99000549316406,2330800,0.015276252613401837,1,ADBE,Shantanu Narayen,Adobe
2018-02-28,209.1300048828125,213.44000244140625,209.10000610351562,210.69000244140625,2356900,0.03696263351531322,1,ADBE,Shantanu Narayen,Adobe
2018-03-01,206.02999877929688,210.67999267578125,204.4499969482422,210.32000732421875,2632200,0.050332452451722964,1,ADBE,Shantanu Narayen,Adobe
2018-03-02,209.7899932861328,210.2100067138672,201.75999450683594,203.9600067138672,2624700,0.05395875726436284,1,ADBE,Shantanu Narayen,Adobe
2018-03-05,211.16000366210938,212.0,206.9199981689453,208.75,2111800,0.046315583489695694,1,ADBE,Shantanu Narayen,Adobe
2018-03-06,212.00999450683594,212.74000549316406,209.8800048828125,212.44000244140625,2169000,0.03655488043395102,1,ADBE,Shantanu Narayen,Adobe
2018-03-07,216.86000061035156,217.44000244140625,211.0,211.3300018310547,2795100,0.007285814934094711,1,ADBE,Shantanu Narayen,Adobe
2018-03-08,216.39999389648438,219.7100067138672,214.86000061035156,218.02999877929688,2284400,0.01141405402203781,1,ADBE,Shantanu Narayen,Adobe
2018-03-09,221.11000061035156,221.27000427246094,217.19000244140625,218.0,2642300,0.02008051390326117,1,ADBE,Shantanu Narayen,Adobe
2018-03-12,220.94000244140625,223.11000061035156,220.33999633789062,222.97000122070312,3216900,0.0056123391901556985,1,ADBE,Shantanu Narayen,Adobe
2018-03-13,219.75999450683594,224.89999389648438,218.42999267578125,223.0,4732000,0.04545870833125321,1,ADBE,Shantanu Narayen,Adobe
2018-03-14,218.44000244140625,221.4600067138672,217.60000610351562,220.75,3357600,0.038500291009497,1,ADBE,Shantanu Narayen,Adobe
2018-03-15,218.8699951171875,221.47000122070312,218.05999755859375,220.0,4457000,0.007538763613486575,1,ADBE,Shantanu Narayen,Adobe
2018-03-16,225.5500030517578,228.8800048828125,224.0,227.17999267578125,8783000,-0.046685872918744833,0,ADBE,Shantanu Narayen,Adobe
2018-03-19,222.17999267578125,226.58999633789062,218.67999267578125,224.47999572753906,4029300,0.030290805689911837,1,ADBE,Shantanu Narayen,Adobe
2018-03-20,229.75,231.33999633789062,223.0,223.19000244140625,5019300,-0.06942327289768091,0,ADBE,Shantanu Narayen,Adobe
2018-03-21,226.85000610351562,229.25,225.61000061035156,228.75999450683594,3971800,-0.06308138608051393,0,ADBE,Shantanu Narayen,Adobe
2018-03-22,220.52000427246094,225.8699951171875,220.25999450683594,223.86000061035156,3008700,-0.020134238868962002,0,ADBE,Shantanu Narayen,Adobe
2018-03-23,215.02000427246094,222.4600067138672,214.77999877929688,219.52000427246094,4297200,-0.0127430259451213,0,ADBE,Shantanu Narayen,Adobe
2018-03-26,228.91000366210938,229.14999389648438,218.5,218.8300018310547,4485400,-0.05670355501582938,0,ADBE,Shantanu Narayen,Adobe
2018-03-27,213.8000030517578,230.97999572753906,212.25,229.89999389648438,5468100,0.05261926959503617,1,ADBE,Shantanu Narayen,Adobe
2018-03-28,212.5399932861328,217.14999389648438,209.0399932861328,213.72000122070312,4503200,0.05175496540639862,1,ADBE,Shantanu Narayen,Adobe
2018-03-29,216.0800018310547,219.58999633789062,210.27000427246094,213.35000610351562,3757400,0.011708620686124353,1,ADBE,Shantanu Narayen,Adobe
2018-04-02,212.27999877929688,216.5,207.22000122070312,214.80999755859375,3494900,0.032457129401116246,1,ADBE,Shantanu Narayen,Adobe
2018-04-03,215.92999267578125,217.85000610351562,212.27999877929688,214.77999877929688,3017800,0.0398277515640383,1,ADBE,Shantanu Narayen,Adobe
2018-04-04,225.0500030517578,226.27999877929688,210.5,210.7100067138672,4474400,-0.006309700731791309,0,ADBE,Shantanu Narayen,Adobe
2018-04-05,223.5399932861328,228.8000030517578,221.61000061035156,227.94000244140625,4084900,0.015299335825588636,1,ADBE,Shantanu Narayen,Adobe
2018-04-06,218.61000061035156,224.4600067138672,216.75,221.88999938964844,2964500,0.02493022703913812,1,ADBE,Shantanu Narayen,Adobe
