ticker,executive,company,published_at,title,description,content,source,url,data_source
MSFT,Satya Nadella,Microsoft,20231120T111500Z,"Sam Altman , Greg Brockman and more to join Microsoft","Sam Altman , Greg Brockman and more to join Microsoft","Sam Altman , Greg Brockman and more to join Microsoft",geeky-gadgets.com,https://www.geeky-gadgets.com/sam-altman-greg-brockman-and-more-to-join-microsoft-20-11-2023/,gdelt
MSFT,Satya Nadella,Microsoft,20231006T124500Z,Microsoft Translator gets updated with new Indian languages : Here are all of them,Microsoft Translator gets updated with new Indian languages : Here are all of them,Microsoft Translator gets updated with new Indian languages : Here are all of them,digit.in,https://www.digit.in/news/apps/microsoft-translator-gets-updated-with-new-indian-languages-here-are-all-of-them.html,gdelt
MSFT,Satya Nadella,Microsoft,20231119T154500Z,정면 충돌한 오픈AI와 알트먼 … 재결합 가능할까,정면 충돌한 오픈AI와 알트먼 … 재결합 가능할까,정면 충돌한 오픈AI와 알트먼 … 재결합 가능할까,zdnet.co.kr,https://zdnet.co.kr/view/?no=20231119203355,gdelt
MSFT,Satya Nadella,Microsoft,20231102T230000Z,Microsoft Announces Secure Future Initiative to Improve Its Cybersecurity,Microsoft Announces Secure Future Initiative to Improve Its Cybersecurity,Microsoft Announces Secure Future Initiative to Improve Its Cybersecurity,webpronews.com,https://www.webpronews.com/microsoft-announces-secure-future-initiative-to-improve-its-cybersecurity/,gdelt
MSFT,Satya Nadella,Microsoft,20231023T210000Z,"VCs Marc Andreessen , John Doerr among attendees at Schumer next AI forum","VCs Marc Andreessen , John Doerr among attendees at Schumer next AI forum","VCs Marc Andreessen , John Doerr among attendees at Schumer next AI forum",nbcnewyork.com,https://www.nbcnewyork.com/news/business/money-report/vcs-marc-andreessen-john-doerr-among-among-attendees-at-schumers-next-ai-forum/4793807/,gdelt
MSFT,Satya Nadella,Microsoft,20231120T141500Z,"OpenAI Internal Strife : CTO , COO , And Other Employees Unite In Support Of Sam Altman - Microsoft ( NASDAQ : MSFT ) ","OpenAI Internal Strife : CTO , COO , And Other Employees Unite In Support Of Sam Altman - Microsoft ( NASDAQ : MSFT ) ","OpenAI Internal Strife : CTO , COO , And Other Employees Unite In Support Of Sam Altman - Microsoft ( NASDAQ : MSFT ) ",benzinga.com,https://www.benzinga.com/news/23/11/35871393/openais-internal-strife-cto-coo-and-other-employees-unite-in-support-of-sam-altman,gdelt
MSFT,Satya Nadella,Microsoft,20231122T164500Z,OpenAI Welcomes Back Ousted Sam Altman as CEO,OpenAI Welcomes Back Ousted Sam Altman as CEO,OpenAI Welcomes Back Ousted Sam Altman as CEO,itechpost.com,http://www.itechpost.com/articles/119853/20231122/openai-welcomes-back-ousted-sam-altman-ceo.htm,gdelt
MSFT,Satya Nadella,Microsoft,20231122T100000Z,OpenAI | Sam Altman reinstated as OpenAI chief executive officer after five days of turmoil at company behind ChatGPT,OpenAI | Sam Altman reinstated as OpenAI chief executive officer after five days of turmoil at company behind ChatGPT,OpenAI | Sam Altman reinstated as OpenAI chief executive officer after five days of turmoil at company behind ChatGPT,telegraphindia.com,https://www.telegraphindia.com/feeds/business/sam-altman-reinstated-as-openais-chief-executive-officer-after-five-days-of-turmoil-at-company-behind-chatgpt/cid/1981781,gdelt
MSFT,Satya Nadella,Microsoft,20231122T100000Z,OpenAI | Sam Altman reinstated as OpenAI chief executive officer after five days of turmoil at company behind ChatGPT,OpenAI | Sam Altman reinstated as OpenAI chief executive officer after five days of turmoil at company behind ChatGPT,OpenAI | Sam Altman reinstated as OpenAI chief executive officer after five days of turmoil at company behind ChatGPT,telegraphindia.com,https://www.telegraphindia.com/business/sam-altman-reinstated-as-openais-chief-executive-officer-after-five-days-of-turmoil-at-company-behind-chatgpt/cid/1981781,gdelt
MSFT,Satya Nadella,Microsoft,20231129T224500Z,"OpenAI : Days After Being Fired Sam Altman Returns As CEO , Satya Nadella Reacts","OpenAI : Days After Being Fired Sam Altman Returns As CEO , Satya Nadella Reacts","OpenAI : Days After Being Fired Sam Altman Returns As CEO , Satya Nadella Reacts",india.com,https://www.india.com/technology/sam-altman-returns-as-openai-ceo-days-after-being-fired-microsoft-ceo-satya-nadella-reaction-6523996/,gdelt
MSFT,Satya Nadella,Microsoft,20231121T060000Z,OpenAI Staff Threaten To Leave And Join Sam Altman At Microsoft : Read The Letter Here,OpenAI Staff Threaten To Leave And Join Sam Altman At Microsoft : Read The Letter Here,OpenAI Staff Threaten To Leave And Join Sam Altman At Microsoft : Read The Letter Here,news18.com,https://www.news18.com/tech/openai-staff-threaten-to-leave-and-join-sam-altman-at-microsoft-read-the-letter-here-8670079.html,gdelt
MSFT,Satya Nadella,Microsoft,20231114T181500Z,What Google Argued to Defend Itself in Landmark Antitrust Trial,What Google Argued to Defend Itself in Landmark Antitrust Trial,What Google Argued to Defend Itself in Landmark Antitrust Trial,nytimes.com,https://www.nytimes.com/2023/11/14/technology/google-antitrust-trial-defense.html,gdelt
MSFT,Satya Nadella,Microsoft,20231004T204500Z,AI Present Matters More Than Its Imagined Future,AI Present Matters More Than Its Imagined Future,AI Present Matters More Than Its Imagined Future,theatlantic.com,https://www.theatlantic.com/technology/archive/2023/10/ai-chuck-schumer-forum-legislation/675540/,gdelt
MSFT,Satya Nadella,Microsoft,20231122T071500Z,OpenAI brings Sam Altman back as CEO days after ouster,OpenAI brings Sam Altman back as CEO days after ouster,OpenAI brings Sam Altman back as CEO days after ouster,cnbc.com,https://www.cnbc.com/2023/11/22/openai-brings-sam-altman-back-as-ceo-days-after-ouster.html,gdelt
MSFT,Satya Nadella,Microsoft,20231123T144500Z,AI breakthrough that could threaten humanity might have been key to Sam Altman firing,AI breakthrough that could threaten humanity might have been key to Sam Altman firing,AI breakthrough that could threaten humanity might have been key to Sam Altman firing,bgr.com,https://bgr.com/tech/ai-breakthrough-that-could-threaten-humanity-might-have-been-key-to-sam-altmans-firing/,gdelt
